variant,config_id,status,runtime_seconds,memory_mb,chunking_strategy,base_chunk_size,overlap_strategy,overlap_amount,overlap_tokens,hierarchy_levels,parent_child_ratio,semantic_threshold,min_chunk_size,max_chunk_size,preserve_code_blocks,preserve_tables,preserve_lists,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_20,mrr_at_10,latency_p50,latency_p95,memory_peak,contradiction_rate,consistency_index
V5_chunking,V5_chunking_0000,success,0.048454999923706055,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,True,True,True,0.6666666666666666,0.5,0.4333333333333333,0.861111111111111,0.25,0.44970893859863287,1.0237998962402344,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0001,success,0.05646538734436035,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,True,True,False,0.8333333333333334,0.6666666666666666,0.37777777777777777,0.8833333333333333,0.6851851851851851,0.6182518005371094,1.2875890731811526,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0002,success,0.05076789855957031,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,True,False,True,0.8333333333333334,0.5,0.39444444444444443,0.9333333333333332,0.17916666666666667,0.4868144989013672,1.0833125114440918,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0003,success,0.057968854904174805,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,True,False,False,0.8333333333333334,0.8333333333333334,0.49444444444444446,0.7722222222222221,0.625,0.34988975524902344,0.8365736007690431,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0004,success,0.036930084228515625,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,False,True,True,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.9111111111111111,0.21428571428571427,0.3078193664550781,0.6846237182617189,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0005,success,0.05192279815673828,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,False,True,False,1.0,0.8333333333333334,0.47777777777777786,0.7888888888888889,0.524074074074074,0.46630191802978516,1.0430712699890137,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0006,success,0.047444820404052734,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,False,False,True,0.8333333333333334,0.6666666666666666,0.5222222222222223,0.7611111111111111,0.5625,0.47440242767333984,1.0590763092041016,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0007,success,0.04097270965576172,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,512,False,False,False,1.0,0.8333333333333334,0.5888888888888889,0.8666666666666666,0.38518518518518513,0.4474878311157227,0.7143473625183107,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0008,success,0.03765225410461426,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,640,True,True,True,0.6666666666666666,0.6666666666666666,0.4277777777777778,0.9333333333333332,0.6904761904761904,0.4379501342773438,0.9794430732727051,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0009,success,0.037949323654174805,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,640,True,True,False,0.6666666666666666,0.5,0.37777777777777777,0.8666666666666667,0.41269841269841273,0.3744525909423828,0.9595837593078613,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0010,success,0.04131913185119629,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,640,True,False,True,0.6666666666666666,0.5,0.35555555555555557,0.8999999999999999,0.3904761904761905,0.38333702087402344,0.6994528770446778,200.32614374999997,0.0,0.0
V5_chunking,V5_chunking_0011,success,0.0478358268737793,180.5390625,fixed_size,128,fixed_tokens,0.1,16,2,2.0,0.3,64,640,True,False,False,0.6666666666666666,0.5,0.35000000000000003,0.7055555555555556,0.5238095238095238,0.45885467529296875,1.1336140632629395,200.32614374999997,0.0,0.0
