variant,config_id,status,runtime_seconds,memory_mb,planning_strategy,ml_model_type,feature_set,adaptation_window,exploration_rate,plan_ensemble_size,quality_threshold,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_20,mrr_at_10,latency_p50,latency_p95,memory_peak,contradiction_rate,consistency_index
V4_iter3,V4_iter3_0000,success,0.04987025260925293,176.59765625,static,gradient_boosting,basic,10,0.0,3,0.5,1.0,0.6666666666666666,0.39444444444444443,0.8888888888888888,0.44629629629629636,0.500032901763916,0.9037315845489502,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0001,success,0.03812456130981445,176.59765625,static,gradient_boosting,basic,10,0.0,3,0.6,1.0,0.5,0.45,0.8777777777777778,0.43796296296296294,0.5275321006774902,0.9650826454162598,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0002,success,0.04186725616455078,176.59765625,static,gradient_boosting,basic,10,0.0,3,0.7,1.0,0.8333333333333334,0.6,0.8222222222222223,0.6071428571428571,0.5529427528381348,0.9958016872406006,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0003,success,0.03781414031982422,176.59765625,static,gradient_boosting,basic,10,0.0,5,0.5,0.6666666666666666,0.6666666666666666,0.3,0.8999999999999999,0.23055555555555554,0.41057348251342773,1.573197841644287,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0004,success,0.03639698028564453,176.59765625,static,gradient_boosting,basic,10,0.0,5,0.6,0.6666666666666666,0.5,0.2222222222222222,0.7611111111111111,0.20138888888888887,0.4135322570800781,0.839160680770874,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0005,success,0.03294086456298828,176.59765625,static,gradient_boosting,basic,10,0.0,5,0.7,0.6666666666666666,0.3333333333333333,0.39999999999999997,0.8777777777777778,0.14417989417989419,0.41440248489379883,0.8717942237854004,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0006,success,0.04798460006713867,176.59765625,static,gradient_boosting,basic,10,0.0,7,0.5,0.8333333333333334,0.6666666666666666,0.5333333333333333,0.8777777777777778,0.4208333333333334,0.4274559020996094,1.2782776355743408,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0007,success,0.04985857009887695,176.59765625,static,gradient_boosting,basic,10,0.0,7,0.6,0.8333333333333334,0.6666666666666666,0.4055555555555555,0.9111111111111111,0.2347222222222222,0.6594586372375488,1.4613735675811768,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0008,success,0.037192583084106445,176.59765625,static,gradient_boosting,basic,10,0.0,7,0.7,1.0,0.8333333333333334,0.5166666666666667,0.861111111111111,0.4361111111111111,0.44155359268188477,0.8852827548980713,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0009,success,0.049880027770996094,176.59765625,static,gradient_boosting,basic,10,0.05,3,0.5,0.6666666666666666,0.6666666666666666,0.4611111111111111,0.7944444444444444,0.39351851851851855,0.6573700904846191,1.4385735988616943,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0010,success,0.04679465293884277,176.59765625,static,gradient_boosting,basic,10,0.05,3,0.6,0.6666666666666666,0.5,0.3222222222222222,0.9333333333333332,0.21527777777777776,0.6564998626708984,1.3931477069854736,202.38091406249998,0.0,0.0
V4_iter3,V4_iter3_0011,success,0.041791677474975586,176.59765625,static,gradient_boosting,basic,10,0.05,3,0.7,0.6666666666666666,0.5,0.4166666666666667,0.8444444444444444,0.21296296296296294,0.4387688636779785,0.8831071853637695,202.38091406249998,0.0,0.0
