variant,config_id,status,runtime_seconds,memory_mb,alpha,k_initial,k_final,chunk_size,chunk_overlap,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_20,mrr_at_10,latency_p50,latency_p95,memory_peak,contradiction_rate,consistency_index
V2_iter1,V2_iter1_0000,success,0.04168438911437988,163.26953125,0.1,20,10,256,32,1.0,0.6666666666666666,0.5777777777777778,0.9666666666666667,0.4953703703703704,0.2795124053955078,0.48996806144714355,180.2131953125,0.0,0.0
V2_iter1,V2_iter1_0001,success,0.03447079658508301,163.51953125,0.1,20,10,256,64,0.8333333333333334,0.6666666666666666,0.5111111111111112,0.7888888888888889,0.4529761904761905,0.2860832214355469,0.5780422687530518,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0002,success,0.03927874565124512,163.51953125,0.1,20,10,256,128,0.8333333333333334,0.6666666666666666,0.48888888888888893,0.9111111111111111,0.44603174603174606,0.4201531410217285,0.852816104888916,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0003,success,0.038747310638427734,163.51953125,0.1,20,10,320,32,0.8333333333333334,1.0,0.5777777777777778,0.9111111111111111,0.5694444444444445,0.323486328125,0.6224584579467773,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0004,success,0.03466486930847168,163.51953125,0.1,20,10,320,64,0.8333333333333334,0.5,0.4666666666666666,0.9333333333333332,0.42751322751322757,0.3020048141479492,0.6317460536956787,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0005,success,0.03522801399230957,163.51953125,0.1,20,10,320,128,0.8333333333333334,0.5,0.36666666666666664,0.9111111111111111,0.4351851851851852,0.29758214950561523,0.6384432315826416,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0006,success,0.0350041389465332,163.51953125,0.1,20,10,512,32,0.8333333333333334,0.5,0.3722222222222223,0.9333333333333332,0.3263888888888889,0.29808759689331055,0.6314301490783691,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0007,success,0.03522634506225586,163.51953125,0.1,20,10,512,64,1.0,0.5,0.5388888888888889,0.8444444444444446,0.4682539682539683,0.3303098678588867,0.6162667274475098,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0008,success,0.03521251678466797,163.51953125,0.1,20,10,512,128,1.0,0.8333333333333334,0.6055555555555555,1.0,0.41944444444444445,0.3224754333496094,0.6495630741119385,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0009,success,0.03590059280395508,163.51953125,0.1,20,15,256,32,1.0,0.8333333333333334,0.48333333333333334,0.9666666666666667,0.46944444444444455,0.31337738037109375,0.8635568618774414,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0010,success,0.03592538833618164,163.51953125,0.1,20,15,256,64,1.0,0.8333333333333334,0.5666666666666667,0.9111111111111111,0.7685185185185185,0.3252553939819336,0.7021927833557129,180.8526015625,0.0,0.0
V2_iter1,V2_iter1_0011,success,0.0354156494140625,163.51953125,0.1,20,15,256,128,0.8333333333333334,0.6666666666666666,0.26666666666666666,0.7611111111111111,0.4055555555555556,0.29139041900634766,0.6237220764160156,180.8526015625,0.0,0.0
