variant,config_id,status,runtime_seconds,memory_mb,beta,k_rerank,query_rewrite,hyde_num_docs,decompose_max_subqueries,retrieval_stages,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_20,mrr_at_10,latency_p50,latency_p95,memory_peak,contradiction_rate,consistency_index
V3_iter2,V3_iter2_0000,success,0.036382436752319336,164.625,0.0,10,none,1,2,single,1.0,0.8333333333333334,0.5722222222222222,0.9666666666666667,0.2847222222222222,0.3338813781738281,0.7260560989379883,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0001,success,0.0351104736328125,164.625,0.0,10,none,1,2,cascade,0.6666666666666666,0.6666666666666666,0.25555555555555554,0.7611111111111111,0.4305555555555556,0.42400360107421875,0.9801149368286133,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0002,success,0.0359654426574707,164.625,0.0,10,none,1,2,parallel,0.6666666666666666,0.6666666666666666,0.47777777777777786,0.8444444444444444,0.4988095238095238,0.3406047821044922,1.1578559875488281,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0003,success,0.03723001480102539,164.625,0.0,10,none,1,3,single,0.8333333333333334,0.6666666666666666,0.39444444444444443,0.8611111111111112,0.36388888888888893,0.4108428955078125,0.786280632019043,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0004,success,0.035239219665527344,164.625,0.0,10,none,1,3,cascade,0.6666666666666666,0.3333333333333333,0.33888888888888885,0.8444444444444444,0.13769841269841268,0.35419464111328125,0.7121086120605469,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0005,success,0.035436391830444336,164.625,0.0,10,none,1,3,parallel,0.8333333333333334,0.5,0.39444444444444443,0.7055555555555556,0.34490740740740744,0.341033935546875,0.7158279418945312,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0006,success,0.03592872619628906,164.625,0.0,10,none,1,4,single,0.8333333333333334,0.8333333333333334,0.42777777777777776,0.8777777777777778,0.26944444444444443,0.35462379455566406,0.7392168045043945,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0007,success,0.03466653823852539,164.625,0.0,10,none,1,4,cascade,0.5,0.5,0.5888888888888889,0.8111111111111112,0.4259259259259259,0.33860206604003906,0.7150411605834961,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0008,success,0.035492658615112305,164.625,0.0,10,none,1,4,parallel,0.6666666666666666,0.5,0.3333333333333333,0.85,0.15138888888888888,0.34046173095703125,1.2818098068237305,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0009,success,0.03471779823303223,164.625,0.0,10,none,2,2,single,0.8333333333333334,0.5,0.42777777777777787,0.8555555555555555,0.1601851851851852,0.3298759460449219,0.9636640548706055,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0010,success,0.034902095794677734,164.625,0.0,10,none,2,2,cascade,0.6666666666666666,0.6666666666666666,0.43333333333333335,0.7777777777777777,0.3277777777777778,0.3353118896484375,0.9622335433959961,184.38000000000002,0.0,0.0
V3_iter2,V3_iter2_0011,success,0.034555673599243164,164.625,0.0,10,none,2,2,parallel,0.8333333333333334,0.3333333333333333,0.31111111111111106,0.9444444444444445,0.2986111111111111,0.38237571716308594,0.806736946105957,184.38000000000002,0.0,0.0
